         8590547 function calls (8514263 primitive calls) in 378.244 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    20002  119.181    0.006  152.829    0.008 C:\Users\yukar\PycharmProjects\CSCI596\lettuce\equilibrium.py:15(__call__)
    10000   63.414    0.006  229.501    0.023 C:\Users\yukar\PycharmProjects\CSCI596\lettuce\collision.py:22(__call__)
   110000   43.227    0.000   43.227    0.000 {built-in method where}
    80143   32.931    0.000   32.931    0.000 {built-in method einsum}
        1   27.012   27.012  374.765  374.765 C:\Users\yukar\PycharmProjects\CSCI596\lettuce\simulation.py:65(step)
    40239   14.111    0.000   14.111    0.000 {built-in method sum}
    10000   13.585    0.001   25.796    0.003 C:\Users\yukar\PycharmProjects\CSCI596\lettuce\boundary.py:32(__call__)
   100109   10.344    0.000   10.344    0.000 {method 'pow' of 'torch._C._TensorBase' objects}
    20002    8.628    0.000    8.628    0.000 {built-in method tensordot}
    10000    7.712    0.001    7.712    0.001 {built-in method ones_like}
    20125    7.610    0.000   25.697    0.001 C:\Users\yukar\PycharmProjects\CSCI596\lettuce\lattices.py:69(u)
    80000    7.020    0.000    7.020    0.000 {built-in method roll}
    10000    3.988    0.000   37.367    0.004 C:\Users\yukar\PycharmProjects\CSCI596\lettuce\boundary.py:54(__call__)
    10000    2.706    0.000   21.382    0.002 C:\Users\yukar\PycharmProjects\CSCI596\lettuce\boundary.py:116(__call__)
      606    2.524    0.004    3.688    0.006 C:\Users\yukar\anaconda3\lib\site-packages\pyevtk\evtk.py:74(writeArrayToFile)
    10000    2.196    0.000   16.225    0.002 C:\Users\yukar\PycharmProjects\CSCI596\lettuce\streaming.py:33(__call__)
    80000    1.001    0.000    8.264    0.000 C:\Users\yukar\PycharmProjects\CSCI596\lettuce\streaming.py:42(_stream)
    70142    0.972    0.000   34.860    0.000 C:\Users\yukar\PycharmProjects\CSCI596\lettuce\lattices.py:102(einsum)
     1222    0.969    0.001    0.969    0.001 {built-in method _struct.pack}
150286/80143    0.895    0.000   34.097    0.000 C:\Users\yukar\anaconda3\lib\site-packages\torch\functional.py:159(einsum)
    10000    0.784    0.000    0.784    0.000 {built-in method frobenius_norm}
   150801    0.642    0.000    0.708    0.000 C:\Users\yukar\anaconda3\lib\site-packages\shapely\geometry\point.py:244(geos_point_from_py)
  1206416    0.579    0.000    0.579    0.000 C:\Users\yukar\anaconda3\lib\site-packages\shapely\geometry\base.py:245(__setattr__)
