Performance in MLUPS: 3.7272358866169486
         8644341 function calls (8566935 primitive calls) in 408.488 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    20002  125.110    0.006  162.162    0.008 E:\BaoFile\lettuce-master\lettuce\equilibrium.py:15(__call__)
    10000   66.547    0.007  245.723    0.025 E:\BaoFile\lettuce-master\lettuce\collision.py:22(__call__)
   110000   44.812    0.000   44.812    0.000 {built-in method where}
    80143   35.942    0.000   35.942    0.000 {built-in method einsum}
        1   30.627   30.627  404.593  404.593 E:\BaoFile\lettuce-master\lettuce\simulation.py:65(step)
    40239   18.166    0.000   18.166    0.000 {built-in method sum}
    10000   14.722    0.001   27.311    0.003 E:\BaoFile\lettuce-master\lettuce\boundary.py:32(__call__)
   100109   10.493    0.000   10.493    0.000 {method 'pow' of 'torch._C._TensorBase' objects}
    20002   10.309    0.001   10.309    0.001 {built-in method tensordot}
    20125    8.959    0.000   30.371    0.002 E:\BaoFile\lettuce-master\lettuce\lattices.py:69(u)
    80000    7.922    0.000    7.922    0.000 {built-in method roll}
    10000    7.451    0.001    7.451    0.001 {built-in method ones_like}
    10000    4.536    0.000   38.875    0.004 E:\BaoFile\lettuce-master\lettuce\boundary.py:54(__call__)
    10000    3.175    0.000   25.190    0.003 E:\BaoFile\lettuce-master\lettuce\boundary.py:116(__call__)
      606    3.111    0.005    4.381    0.007 E:\Bao\Conda\envs\lettuce\lib\site-packages\pyevtk\evtk.py:74(writeArrayToFile)
    10000    2.861    0.000   18.825    0.002 E:\BaoFile\lettuce-master\lettuce\streaming.py:33(__call__)
    80000    1.215    0.000    9.414    0.000 E:\BaoFile\lettuce-master\lettuce\streaming.py:42(_stream)
     1223    1.109    0.001    1.109    0.001 {built-in method _struct.pack}
    70142    1.059    0.000   37.929    0.001 E:\BaoFile\lettuce-master\lettuce\lattices.py:102(einsum)
    10000    1.029    0.000    1.029    0.000 {built-in method frobenius_norm}
150286/80143    0.972    0.000   37.227    0.000 E:\Bao\Conda\envs\lettuce\lib\site-packages\torch\functional.py:159(einsum)
   150801    0.690    0.000    0.751    0.000 E:\Bao\Conda\envs\lettuce\lib\site-packages\shapely\geometry\point.py:244(geos_point_from_py)
  1206416    0.654    0.000    0.654    0.000 E:\Bao\Conda\envs\lettuce\lib\site-packages\shapely\geometry\base.py:245(__setattr__)
