Performance in MLUPS: 3.4435090588607298
         8590547 function calls (8514263 primitive calls) in 358.925 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    20002  113.315    0.006  145.831    0.007 C:\Users\yukar\PycharmProjects\CSCI596\lettuce\equilibrium.py:15(__call__)
    10000   59.835    0.006  218.165    0.022 C:\Users\yukar\PycharmProjects\CSCI596\lettuce\collision.py:22(__call__)
   110000   41.096    0.000   41.096    0.000 {built-in method where}
    80143   31.160    0.000   31.160    0.000 {built-in method einsum}
        1   25.374   25.374  355.558  355.558 C:\Users\yukar\PycharmProjects\CSCI596\lettuce\simulation.py:65(step)
    40239   13.144    0.000   13.144    0.000 {built-in method sum}
    10000   12.610    0.001   24.221    0.002 C:\Users\yukar\PycharmProjects\CSCI596\lettuce\boundary.py:32(__call__)
   100109   10.105    0.000   10.105    0.000 {method 'pow' of 'torch._C._TensorBase' objects}
    20002    8.359    0.000    8.359    0.000 {built-in method tensordot}
    20125    8.070    0.000   24.467    0.001 C:\Users\yukar\PycharmProjects\CSCI596\lettuce\lattices.py:69(u)
    10000    7.467    0.001    7.467    0.001 {built-in method ones_like}
    80000    6.278    0.000    6.278    0.000 {built-in method roll}
    10000    3.604    0.000   35.848    0.004 C:\Users\yukar\PycharmProjects\CSCI596\lettuce\boundary.py:54(__call__)
    10000    2.552    0.000   20.352    0.002 C:\Users\yukar\PycharmProjects\CSCI596\lettuce\boundary.py:116(__call__)
      606    2.385    0.004    3.482    0.006 C:\Users\yukar\anaconda3\lib\site-packages\pyevtk\evtk.py:74(writeArrayToFile)
    10000    2.078    0.000   15.018    0.002 C:\Users\yukar\PycharmProjects\CSCI596\lettuce\streaming.py:33(__call__)
    80000    0.932    0.000    7.443    0.000 C:\Users\yukar\PycharmProjects\CSCI596\lettuce\streaming.py:42(_stream)
    70142    0.922    0.000   32.980    0.000 C:\Users\yukar\PycharmProjects\CSCI596\lettuce\lattices.py:102(einsum)
     1222    0.916    0.001    0.916    0.001 {built-in method _struct.pack}
150286/80143    0.841    0.000   32.264    0.000 C:\Users\yukar\anaconda3\lib\site-packages\torch\functional.py:159(einsum)
    10000    0.763    0.000    0.763    0.000 {built-in method frobenius_norm}
   150801    0.633    0.000    0.695    0.000 C:\Users\yukar\anaconda3\lib\site-packages\shapely\geometry\point.py:244(geos_point_from_py)
  1206416    0.556    0.000    0.556    0.000 C:\Users\yukar\anaconda3\lib\site-packages\shapely\geometry\base.py:245(__setattr__)
    10001    0.513    0.000    0.626    0.000 C:\Users\yukar\PycharmProjects\CSCI596\lettuce\unit.py:96(convert_pressure_to_lu)
