         8829825 function calls (8749251 primitive calls) in 429.982 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    20002  132.306    0.007  168.790    0.008 C:\Users\yukar\PycharmProjects\CSCI596\lettuce\equilibrium.py:15(__call__)
    10000   71.419    0.007  255.696    0.026 C:\Users\yukar\PycharmProjects\CSCI596\lettuce\collision.py:22(__call__)
   110000   47.878    0.000   47.878    0.000 {built-in method where}
    80143   36.687    0.000   36.687    0.000 {built-in method einsum}
        1   29.102   29.102  417.080  417.080 C:\Users\yukar\PycharmProjects\CSCI596\lettuce\simulation.py:65(step)
    40239   16.130    0.000   16.130    0.000 {built-in method sum}
    10000   15.088    0.002   28.550    0.003 C:\Users\yukar\PycharmProjects\CSCI596\lettuce\boundary.py:32(__call__)
   100109   11.452    0.000   11.452    0.000 {method 'pow' of 'torch._C._TensorBase' objects}
    20125    9.901    0.000   30.844    0.002 C:\Users\yukar\PycharmProjects\CSCI596\lettuce\lattices.py:69(u)
    20002    9.007    0.000    9.007    0.000 {built-in method tensordot}
        2    8.794    4.397    9.106    4.553 {built-in method exec_}
    10000    8.429    0.001    8.429    0.001 {built-in method ones_like}
    80000    7.787    0.000    7.787    0.000 {built-in method roll}
    10000    4.543    0.000   41.019    0.004 C:\Users\yukar\PycharmProjects\CSCI596\lettuce\boundary.py:54(__call__)
    10000    2.947    0.000   25.639    0.003 C:\Users\yukar\PycharmProjects\CSCI596\lettuce\boundary.py:116(__call__)
      606    2.702    0.004    3.891    0.006 C:\Users\yukar\anaconda3\lib\site-packages\pyevtk\evtk.py:74(writeArrayToFile)
    10000    2.339    0.000   17.568    0.002 C:\Users\yukar\PycharmProjects\CSCI596\lettuce\streaming.py:33(__call__)
    80000    1.099    0.000    9.150    0.000 C:\Users\yukar\PycharmProjects\CSCI596\lettuce\streaming.py:42(_stream)
    70142    1.091    0.000   38.789    0.001 C:\Users\yukar\PycharmProjects\CSCI596\lettuce\lattices.py:102(einsum)
150286/80143    0.989    0.000   37.976    0.000 C:\Users\yukar\anaconda3\lib\site-packages\torch\functional.py:159(einsum)
     1224    0.976    0.001    0.976    0.001 {built-in method _struct.pack}
    10000    0.813    0.000    0.813    0.000 {built-in method frobenius_norm}
   150801    0.682    0.000    0.750    0.000 C:\Users\yukar\anaconda3\lib\site-packages\shapely\geometry\point.py:244(geos_point_from_py)
    10001    0.655    0.000    0.787    0.000 C:\Users\yukar\PycharmProjects\CSCI596\lettuce\unit.py:96(convert_pressure_to_lu)
  1206416    0.597    0.000    0.597    0.000 C:\Users\yukar\anaconda3\lib\site-packages\shapely\geometry\base.py:245(__setattr__)
    40228    0.476    0.000   16.605    0.000 C:\Users\yukar\PycharmProjects\CSCI596\lettuce\lattices.py:61(rho)
   150801    0.339    0.000    0.568    0.000 C:\Users\yukar\anaconda3\lib\site-packages\shapely\predicates.py:11(__call__)
    20002    0.327    0.000    9.410    0.000 C:\Users\yukar\anaconda3\lib\site-packages\torch\functional.py:949(tensordot)
   301604    0.296    0.000    0.613    0.000 C:\Users\yukar\anaconda3\lib\site-packages\shapely\geometry\base.py:191(_empty)
   150801    0.258    0.000    1.644    0.000 C:\Users\yukar\anaconda3\lib\site-packages\shapely\geometry\point.py:38(__init__)
    10001    0.249    0.000    1.188    0.000 C:\Users\yukar\PycharmProjects\CSCI596\lettuce\unit.py:83(convert_pressure_pu_to_density_lu)
        1    0.219    0.219    3.109    3.109 C:\Users\yukar\PycharmProjects\CSCI596\flow2D.py:65(setPolygonObstacle)
    80359    0.216    0.000    0.216    0.000 {built-in method numpy.arange}
    10001    0.204    0.000    0.215    0.000 C:\Users\yukar\PycharmProjects\CSCI596\lettuce\unit.py:60(convert_velocity_to_lu)
   100109    0.199    0.000   11.691    0.000 C:\Users\yukar\anaconda3\lib\site-packages\torch\_tensor.py:25(wrapped)
   140372    0.188    0.000    0.188    0.000 C:\Users\yukar\PycharmProjects\CSCI596\lettuce\lattices.py:35(D)
   668953    0.171    0.000    0.176    0.000 {built-in method builtins.isinstance}
1316092/1315959    0.149    0.000    0.149    0.000 {built-in method builtins.len}
    18713    0.141    0.000    0.141    0.000 {built-in method numpy.array}
   150801    0.139    0.000    0.736    0.000 C:\Users\yukar\anaconda3\lib\site-packages\shapely\geometry\base.py:809(within)
    40220    0.130    0.000    0.130    0.000 C:\Users\yukar\PycharmProjects\CSCI596\lettuce\unit.py:33(characteristic_velocity_lu)
   150802    0.126    0.000    0.530    0.000 C:\Users\yukar\anaconda3\lib\site-packages\shapely\geometry\base.py:240(_set_geom)
   140475    0.124    0.000    0.124    0.000 {method 'split' of 'str' objects}
   301602    0.122    0.000    0.179    0.000 C:\Users\yukar\anaconda3\lib\site-packages\shapely\topology.py:17(_validate)
      848    0.113    0.000    0.113    0.000 {method 'ravel' of 'numpy.ndarray' objects}
   110145    0.106    0.000    0.184    0.000 C:\Users\yukar\anaconda3\lib\site-packages\torch\_VF.py:25(__getattr__)
    10001    0.091    0.000    4.617    0.000 C:\Users\yukar\PycharmProjects\CSCI596\lettuce\simulation.py:84(_report)
   150802    0.091    0.000    0.509    0.000 C:\Users\yukar\anaconda3\lib\site-packages\shapely\geometry\base.py:208(__del__)
     9418    0.089    0.000    0.089    0.000 {method 'write' of '_io.BufferedWriter' objects}
   124210    0.082    0.000    0.086    0.000 {built-in method builtins.getattr}
   250395    0.080    0.000    0.080    0.000 {built-in method torch._C._has_torch_function}
    63606    0.076    0.000    0.076    0.000 {method 'endswith' of 'str' objects}
    20002    0.073    0.000    0.136    0.000 C:\Users\yukar\PycharmProjects\CSCI596\lettuce\unit.py:71(convert_time_to_pu)
    10000    0.073    0.000    0.909    0.000 C:\Users\yukar\anaconda3\lib\site-packages\torch\functional.py:1315(norm)
    20125    0.070    0.000   12.241    0.001 C:\Users\yukar\PycharmProjects\CSCI596\lettuce\lattices.py:65(j)
   603204    0.063    0.000    0.063    0.000 C:\Users\yukar\anaconda3\lib\site-packages\shapely\geometry\base.py:228(_geom)
      102    0.060    0.001    0.061    0.001 C:\Users\yukar\PycharmProjects\CSCI596\lettuce\unit.py:57(convert_velocity_to_pu)
      103    0.057    0.001    0.057    0.001 {built-in method io.open}
    10102    0.055    0.000    0.111    0.000 C:\Users\yukar\PycharmProjects\CSCI596\lettuce\unit.py:41(characteristic_pressure_lu)
   305652    0.047    0.000    0.047    0.000 {built-in method builtins.hasattr}
        1    0.040    0.040    0.040    0.040 C:\Users\yukar\PycharmProjects\CSCI596\flow2D.py:51(setRectObstacle)
        1    0.039    0.039    0.040    0.040 C:\Users\yukar\PycharmProjects\CSCI596\flow2D.py:32(setSquareObstacle)
   160000    0.038    0.000    0.038    0.000 C:\Users\yukar\PycharmProjects\CSCI596\lettuce\streaming.py:25(no_stream_mask)
    10001    0.037    0.000    4.334    0.000 C:\Users\yukar\PycharmProjects\CSCI596\lettuce\reporters.py:52(__call__)
        6    0.036    0.006    0.037    0.006 {built-in method matplotlib._image.resample}
        2    0.033    0.016    0.034    0.017 {built-in method show}
    70556    0.032    0.000    0.033    0.000 {method 'join' of 'str' objects}
        7    0.031    0.004    0.031    0.004 {method 'take' of 'numpy.ndarray' objects}
   150801    0.030    0.000    0.030    0.000 C:\Users\yukar\anaconda3\lib\site-packages\shapely\impl.py:56(__getitem__)
        2    0.026    0.013    0.026    0.013 C:\Users\yukar\anaconda3\lib\site-packages\matplotlib\backends\backend_qt5.py:96(_create_qApp)
    10000    0.025    0.000    0.025    0.000 C:\Users\yukar\PycharmProjects\CSCI596\lettuce\lattices.py:39(Q)
    10102    0.023    0.000    0.023    0.000 C:\Users\yukar\PycharmProjects\CSCI596\lettuce\unit.py:37(characteristic_pressure_pu)
   150801    0.022    0.000    0.022    0.000 C:\Users\yukar\anaconda3\lib\site-packages\shapely\geos.py:573(errcheck_predicate)
        1    0.021    0.021    0.021    0.021 {method 'quantize' of 'ImagingCore' objects}
6644/6222    0.021    0.000    0.202    0.000 {built-in method numpy.core._multiarray_umath.implement_array_function}
      103    0.018    0.000    0.018    0.000 {method 'close' of '_io.BufferedWriter' objects}
        2    0.018    0.009    0.018    0.009 {built-in method sizeHint}
    10001    0.017    0.000    0.055    0.000 C:\Users\yukar\PycharmProjects\CSCI596\lettuce\reporters.py:135(__call__)
       16    0.017    0.001    0.018    0.001 C:\Users\yukar\anaconda3\lib\site-packages\matplotlib\backends\backend_qt5.py:699(_icon)
