         8590582 function calls (8514298 primitive calls) in 422.542 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    20002  132.430    0.007  167.132    0.008 C:\Users\yukar\PycharmProjects\CSCI596\lettuce\equilibrium.py:15(__call__)
    10000   72.113    0.007  254.660    0.025 C:\Users\yukar\PycharmProjects\CSCI596\lettuce\collision.py:22(__call__)
   110000   47.149    0.000   47.149    0.000 {built-in method where}
    80143   34.883    0.000   34.883    0.000 {built-in method einsum}
        1   32.261   32.261  418.876  418.876 C:\Users\yukar\PycharmProjects\CSCI596\lettuce\simulation.py:65(step)
    40239   16.813    0.000   16.813    0.000 {built-in method sum}
    10000   15.360    0.002   28.322    0.003 C:\Users\yukar\PycharmProjects\CSCI596\lettuce\boundary.py:32(__call__)
   100109   10.584    0.000   10.584    0.000 {method 'pow' of 'torch._C._TensorBase' objects}
    20125    9.844    0.000   30.977    0.002 C:\Users\yukar\PycharmProjects\CSCI596\lettuce\lattices.py:69(u)
    20002    8.713    0.000    8.713    0.000 {built-in method tensordot}
    80000    7.958    0.000    7.958    0.000 {built-in method roll}
    10000    7.703    0.001    7.703    0.001 {built-in method ones_like}
    10000    5.287    0.001   40.243    0.004 C:\Users\yukar\PycharmProjects\CSCI596\lettuce\boundary.py:54(__call__)
    10000    3.032    0.000   26.016    0.003 C:\Users\yukar\PycharmProjects\CSCI596\lettuce\boundary.py:116(__call__)
      606    2.765    0.005    4.014    0.007 C:\Users\yukar\anaconda3\lib\site-packages\pyevtk\evtk.py:74(writeArrayToFile)
    10000    2.326    0.000   18.034    0.002 C:\Users\yukar\PycharmProjects\CSCI596\lettuce\streaming.py:33(__call__)
    70142    1.129    0.000   37.119    0.001 C:\Users\yukar\PycharmProjects\CSCI596\lettuce\lattices.py:102(einsum)
    80000    1.089    0.000    9.315    0.000 C:\Users\yukar\PycharmProjects\CSCI596\lettuce\streaming.py:42(_stream)
150286/80143    1.021    0.000   36.217    0.000 C:\Users\yukar\anaconda3\lib\site-packages\torch\functional.py:159(einsum)
     1224    1.013    0.001    1.013    0.001 {built-in method _struct.pack}
    10000    0.822    0.000    0.822    0.000 {built-in method frobenius_norm}
    10001    0.690    0.000    0.830    0.000 C:\Users\yukar\PycharmProjects\CSCI596\lettuce\unit.py:96(convert_pressure_to_lu)
   150801    0.673    0.000    0.741    0.000 C:\Users\yukar\anaconda3\lib\site-packages\shapely\geometry\point.py:244(geos_point_from_py)
  1206416    0.593    0.000    0.593    0.000 C:\Users\yukar\anaconda3\lib\site-packages\shapely\geometry\base.py:245(__setattr__)
    40228    0.484    0.000   17.296    0.000 C:\Users\yukar\PycharmProjects\CSCI596\lettuce\lattices.py:61(rho)
   150801    0.342    0.000    0.567    0.000 C:\Users\yukar\anaconda3\lib\site-packages\shapely\predicates.py:11(__call__)
    20002    0.341    0.000    9.136    0.000 C:\Users\yukar\anaconda3\lib\site-packages\torch\functional.py:949(tensordot)
   301604    0.299    0.000    0.614    0.000 C:\Users\yukar\anaconda3\lib\site-packages\shapely\geometry\base.py:191(_empty)
   150801    0.264    0.000    1.632    0.000 C:\Users\yukar\anaconda3\lib\site-packages\shapely\geometry\point.py:38(__init__)
    10001    0.259    0.000    1.246    0.000 C:\Users\yukar\PycharmProjects\CSCI596\lettuce\unit.py:83(convert_pressure_pu_to_density_lu)
    80343    0.220    0.000    0.220    0.000 {built-in method numpy.arange}
        1    0.218    0.218    3.105    3.105 C:\Users\yukar\PycharmProjects\CSCI596\flow2D.py:65(setPolygonObstacle)
    10001    0.206    0.000    0.217    0.000 C:\Users\yukar\PycharmProjects\CSCI596\lettuce\unit.py:60(convert_velocity_to_lu)
   100109    0.198    0.000   10.827    0.000 C:\Users\yukar\anaconda3\lib\site-packages\torch\_tensor.py:25(wrapped)
   140372    0.194    0.000    0.194    0.000 C:\Users\yukar\PycharmProjects\CSCI596\lettuce\lattices.py:35(D)
   657340    0.173    0.000    0.176    0.000 {built-in method builtins.isinstance}
1316193/1316064    0.149    0.000    0.149    0.000 {built-in method builtins.len}
   150801    0.140    0.000    0.735    0.000 C:\Users\yukar\anaconda3\lib\site-packages\shapely\geometry\base.py:809(within)
    40220    0.139    0.000    0.139    0.000 C:\Users\yukar\PycharmProjects\CSCI596\lettuce\unit.py:33(characteristic_velocity_lu)
    14382    0.129    0.000    0.129    0.000 {built-in method numpy.array}
   140468    0.128    0.000    0.128    0.000 {method 'split' of 'str' objects}
      786    0.127    0.000    0.127    0.000 {method 'ravel' of 'numpy.ndarray' objects}
   150802    0.125    0.000    0.522    0.000 C:\Users\yukar\anaconda3\lib\site-packages\shapely\geometry\base.py:240(_set_geom)
   301602    0.121    0.000    0.176    0.000 C:\Users\yukar\anaconda3\lib\site-packages\shapely\topology.py:17(_validate)
   110145    0.108    0.000    0.195    0.000 C:\Users\yukar\anaconda3\lib\site-packages\torch\_VF.py:25(__getattr__)
     9642    0.100    0.000    0.100    0.000 {method 'write' of '_io.BufferedWriter' objects}
    10001    0.099    0.000    4.805    0.000 C:\Users\yukar\PycharmProjects\CSCI596\lettuce\simulation.py:84(_report)
   150802    0.094    0.000    0.519    0.000 C:\Users\yukar\anaconda3\lib\site-packages\shapely\geometry\base.py:208(__del__)
   120420    0.090    0.000    0.092    0.000 {built-in method builtins.getattr}
   250395    0.086    0.000    0.086    0.000 {built-in method torch._C._has_torch_function}
    62673    0.081    0.000    0.081    0.000 {method 'endswith' of 'str' objects}
    20002    0.078    0.000    0.145    0.000 C:\Users\yukar\PycharmProjects\CSCI596\lettuce\unit.py:71(convert_time_to_pu)
    10000    0.075    0.000    0.921    0.000 C:\Users\yukar\anaconda3\lib\site-packages\torch\functional.py:1315(norm)
    20125    0.073    0.000   11.951    0.001 C:\Users\yukar\PycharmProjects\CSCI596\lettuce\lattices.py:65(j)
      102    0.066    0.001    0.067    0.001 C:\Users\yukar\PycharmProjects\CSCI596\lettuce\unit.py:57(convert_velocity_to_pu)
      103    0.059    0.001    0.059    0.001 {built-in method io.open}
   603204    0.058    0.000    0.058    0.000 C:\Users\yukar\anaconda3\lib\site-packages\shapely\geometry\base.py:228(_geom)
    10102    0.058    0.000    0.118    0.000 C:\Users\yukar\PycharmProjects\CSCI596\lettuce\unit.py:41(characteristic_pressure_lu)
   305820    0.047    0.000    0.047    0.000 {built-in method builtins.hasattr}
    10001    0.040    0.000    4.500    0.000 C:\Users\yukar\PycharmProjects\CSCI596\lettuce\reporters.py:52(__call__)
   160000    0.038    0.000    0.038    0.000 C:\Users\yukar\PycharmProjects\CSCI596\lettuce\streaming.py:25(no_stream_mask)
    70451    0.033    0.000    0.033    0.000 {method 'join' of 'str' objects}
   150801    0.029    0.000    0.029    0.000 C:\Users\yukar\anaconda3\lib\site-packages\shapely\impl.py:56(__getitem__)
        4    0.028    0.007    0.029    0.007 {built-in method matplotlib._image.resample}
    10000    0.026    0.000    0.026    0.000 C:\Users\yukar\PycharmProjects\CSCI596\lettuce\lattices.py:39(Q)
        1    0.026    0.026    0.026    0.026 C:\Users\yukar\anaconda3\lib\site-packages\matplotlib\backends\backend_qt5.py:96(_create_qApp)
        1    0.025    0.025    0.025    0.025 C:\Users\yukar\PycharmProjects\CSCI596\flow2D.py:32(setSquareObstacle)
    10102    0.024    0.000    0.024    0.000 C:\Users\yukar\PycharmProjects\CSCI596\lettuce\unit.py:37(characteristic_pressure_pu)
   150801    0.023    0.000    0.023    0.000 C:\Users\yukar\anaconda3\lib\site-packages\shapely\geos.py:573(errcheck_predicate)
        1    0.022    0.022    0.022    0.022 C:\Users\yukar\PycharmProjects\CSCI596\flow2D.py:51(setRectObstacle)
      103    0.019    0.000    0.019    0.000 {method 'close' of '_io.BufferedWriter' objects}
    10001    0.018    0.000    0.061    0.000 C:\Users\yukar\PycharmProjects\CSCI596\lettuce\reporters.py:135(__call__)
        1    0.017    0.017    0.017    0.017 {method 'quantize' of 'ImagingCore' objects}
      101    0.016    0.000    0.029    0.000 C:\Users\yukar\PycharmProjects\CSCI596\lettuce\unit.py:79(convert_density_lu_to_pressure_pu)
      149    0.014    0.000    0.014    0.000 {method 'set_text' of 'matplotlib.ft2font.FT2Font' objects}
      512    0.013    0.000    0.013    0.000 {method 'load_char' of 'matplotlib.ft2font.FT2Font' objects}
        8    0.013    0.002    0.013    0.002 C:\Users\yukar\anaconda3\lib\site-packages\matplotlib\backends\backend_qt5.py:699(_icon)
      101    0.010    0.000    0.012    0.000 C:\Users\yukar\PycharmProjects\CSCI596\lettuce\unit.py:93(convert_pressure_to_pu)
    20002    0.010    0.000    0.010    0.000 {built-in method torch._C._has_torch_function_variadic}
2772/2460    0.009    0.000    0.162    0.000 {built-in method numpy.core._multiarray_umath.implement_array_function}
      653    0.009    0.000    0.012    0.000 C:\Users\yukar\anaconda3\lib\inspect.py:2907(_bind)
        1    0.008    0.008    0.008    0.008 {built-in method sizeHint}
        1    0.008    0.008    0.032    0.032 C:\Users\yukar\anaconda3\lib\site-packages\matplotlib\backends\backend_qt5.py:530(__init__)
        2    0.008    0.004    0.008    0.004 {method 'encode' of 'ImagingEncoder' objects}
        2    0.008    0.004    0.030    0.015 C:\Users\yukar\anaconda3\lib\site-packages\matplotlib\font_manager.py:1311(_findfont_cached)
    10000    0.006    0.000    0.006    0.000 {method 'dim' of 'torch._C._TensorBase' objects}
      606    0.006    0.000    4.024    0.007 C:\Users\yukar\anaconda3\lib\site-packages\pyevtk\vtk.py:572(appendData)
       34    0.006    0.000    0.006    0.000 C:\Users\yukar\anaconda3\lib\site-packages\numpy\core\_methods.py:105(_clip_dep_invoke_with_casting)
     1728    0.005    0.000    0.006    0.000 C:\Users\yukar\anaconda3\lib\site-packages\matplotlib\font_manager.py:1188(score_stretch)
2970/1828    0.005    0.000    0.010    0.000 C:\Users\yukar\anaconda3\lib\site-packages\matplotlib\backends\backend_pdf.py:249(pdfRepr)
      108    0.005    0.000    0.005    0.000 {method 'get_glyph_name' of 'matplotlib.ft2font.FT2Font' objects}
     1728    0.005    0.000    0.008    0.000 C:\Users\yukar\anaconda3\lib\site-packages\matplotlib\font_manager.py:1130(score_family)
     9359    0.004    0.000    0.006    0.000 C:\Users\yukar\anaconda3\lib\site-packages\matplotlib\__init__.py:604(__getitem__)
       39    0.004    0.000    0.005    0.000 {method 'draw_path' of 'matplotlib.backends._backend_agg.RendererAgg' objects}
