Performance in MLUPS: 34.034884243070735
         8644602 function calls (8567192 primitive calls) in 49.039 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    10000   24.945    0.002   27.124    0.003 E:\BaoFile\lettuce-master\lettuce\boundary.py:116(__call__)
    80143    2.650    0.000    2.650    0.000 {built-in method einsum}
    20002    2.088    0.000    5.527    0.000 E:\BaoFile\lettuce-master\lettuce\equilibrium.py:15(__call__)
      606    1.907    0.003    2.708    0.004 E:\Bao\Conda\envs\lettuce\lib\site-packages\pyevtk\evtk.py:74(writeArrayToFile)
    10000    1.440    0.000    4.435    0.000 E:\BaoFile\lettuce-master\lettuce\streaming.py:33(__call__)
   110000    1.436    0.000    1.436    0.000 {built-in method where}
    80000    1.301    0.000    1.301    0.000 {built-in method roll}
       16    1.184    0.074    1.207    0.075 {built-in method tensor}
   100109    0.920    0.000    0.920    0.000 {method 'pow' of 'torch._C._TensorBase' objects}
    20002    0.822    0.000    0.822    0.000 {built-in method tensordot}
     1223    0.677    0.001    0.677    0.001 {built-in method _struct.pack}
    80000    0.646    0.000    2.105    0.000 E:\BaoFile\lettuce-master\lettuce\streaming.py:42(_stream)
    40239    0.637    0.000    0.637    0.000 {built-in method sum}
    10000    0.619    0.000    0.787    0.000 E:\BaoFile\lettuce-master\lettuce\boundary.py:32(__call__)
    10000    0.587    0.000    4.631    0.000 E:\BaoFile\lettuce-master\lettuce\collision.py:22(__call__)
   150801    0.579    0.000    0.637    0.000 E:\Bao\Conda\envs\lettuce\lib\site-packages\shapely\geometry\point.py:244(geos_point_from_py)
  1206416    0.554    0.000    0.554    0.000 E:\Bao\Conda\envs\lettuce\lib\site-packages\shapely\geometry\base.py:245(__setattr__)
150286/80143    0.419    0.000    3.204    0.000 E:\Bao\Conda\envs\lettuce\lib\site-packages\torch\functional.py:159(einsum)
    70142    0.401    0.000    3.334    0.000 E:\BaoFile\lettuce-master\lettuce\lattices.py:102(einsum)
