 Performance in MLUPS: 33.606293741390544
         8644780 function calls (8567370 primitive calls) in 49.798 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    10000   25.129    0.003   27.385    0.003 E:\BaoFile\lettuce-master\lettuce\boundary.py:116(__call__)
    80143    2.751    0.000    2.751    0.000 {built-in method einsum}
    20002    2.098    0.000    5.573    0.000 E:\BaoFile\lettuce-master\lettuce\equilibrium.py:15(__call__)
      606    1.958    0.003    2.763    0.005 E:\Bao\Conda\envs\lettuce\lib\site-packages\pyevtk\evtk.py:74(writeArrayToFile)
    10000    1.488    0.000    4.478    0.000 E:\BaoFile\lettuce-master\lettuce\streaming.py:33(__call__)
   110000    1.474    0.000    1.474    0.000 {built-in method where}
    80000    1.304    0.000    1.304    0.000 {built-in method roll}
       16    1.222    0.076    1.248    0.078 {built-in method tensor}
   100109    0.914    0.000    0.914    0.000 {method 'pow' of 'torch._C._TensorBase' objects}
    20002    0.829    0.000    0.829    0.000 {built-in method tensordot}
     1225    0.678    0.001    0.678    0.001 {built-in method _struct.pack}
    80000    0.642    0.000    2.101    0.000 E:\BaoFile\lettuce-master\lettuce\streaming.py:42(_stream)
    40239    0.639    0.000    0.639    0.000 {built-in method sum}
    10000    0.634    0.000    0.816    0.000 E:\BaoFile\lettuce-master\lettuce\boundary.py:32(__call__)
   150801    0.600    0.000    0.659    0.000 E:\Bao\Conda\envs\lettuce\lib\site-packages\shapely\geometry\point.py:244(geos_point_from_py)
    10000    0.592    0.000    4.710    0.000 E:\BaoFile\lettuce-master\lettuce\collision.py:22(__call__)
  1206416    0.585    0.000    0.585    0.000 E:\Bao\Conda\envs\lettuce\lib\site-packages\shapely\geometry\base.py:245(__setattr__)
150286/80143    0.429    0.000    3.324    0.000 E:\Bao\Conda\envs\lettuce\lib\site-packages\torch\functional.py:159(einsum)
    70142    0.399    0.000    3.433    0.000 E:\BaoFile\lettuce-master\lettuce\lattices.py:102(einsum)
    10000    0.301    0.000    0.301    0.000 {built-in method frobenius_norm}
    20125    0.298    0.000    1.862    0.000 E:\BaoFile\lettuce-master\lettuce\lattices.py:69(u)
   150801    0.295    0.000    0.507    0.000 E:\Bao\Conda\envs\lettuce\lib\site-packages\shapely\predicates.py:11(__call__)
   301604    0.272    0.000    0.580    0.000 E:\Bao\Conda\envs\lettuce\lib\site-packages\shapely\geometry\base.py:191(_empty)
    10001    0.250    0.000    0.287    0.000 E:\BaoFile\lettuce-master\lettuce\unit.py:96(convert_pressure_to_lu)
   150801    0.228    0.000    1.481    0.000 E:\Bao\Conda\envs\lettuce\lib\site-packages\shapely\geometry\point.py:38(__init__)
    40228    0.224    0.000    0.863    0.000 E:\BaoFile\lettuce-master\lettuce\lattices.py:61(rho)
        1    0.216    0.216   44.873   44.873 E:\BaoFile\lettuce-master\lettuce\simulation.py:65(step)
    10001    0.205    0.000    0.595    0.000 E:\BaoFile\lettuce-master\lettuce\unit.py:83(convert_pressure_pu_to_density_lu)
    10001    0.195    0.000    0.203    0.000 E:\BaoFile\lettuce-master\lettuce\unit.py:60(convert_velocity_to_lu)
        1    0.171    0.171    2.779    2.779 E:\BaoFile\lettuce-master\flow2D.py:65(setPolygonObstacle)
    10000    0.133    0.000    0.133    0.000 {built-in method ones_like}
    80343    0.121    0.000    0.121    0.000 {built-in method numpy.arange}
   301602    0.116    0.000    0.166    0.000 E:\Bao\Conda\envs\lettuce\lib\site-packages\shapely\topology.py:17(_validate)
    20002    0.114    0.000    0.976    0.000 E:\Bao\Conda\envs\lettuce\lib\site-packages\torch\functional.py:949(tensordot)
   150801    0.113    0.000    0.647    0.000 E:\Bao\Conda\envs\lettuce\lib\site-packages\shapely\geometry\base.py:809(within)
   150802    0.106    0.000    0.493    0.000 E:\Bao\Conda\envs\lettuce\lib\site-packages\shapely\geometry\base.py:240(_set_geom)
   664932    0.104    0.000    0.106    0.000 {built-in method builtins.isinstance}
1320693/1320450    0.101    0.000    0.101    0.000 {built-in method builtins.len}
      315    0.094    0.000    0.094    0.000 {method 'cpu' of 'torch._C._TensorBase' objects}
    10000    0.092    0.000    3.949    0.000 E:\BaoFile\lettuce-master\lettuce\boundary.py:54(__call__)
   100109    0.085    0.000    1.020    0.000 E:\Bao\Conda\envs\lettuce\lib\site-packages\torch\_tensor.py:25(wrapped)
   150802    0.079    0.000    0.479    0.000 E:\Bao\Conda\envs\lettuce\lib\site-packages\shapely\geometry\base.py:208(__del__)
   140372    0.071    0.000    0.071    0.000 E:\BaoFile\lettuce-master\lettuce\lattices.py:35(D)
      786    0.065    0.000    0.065    0.000 {method 'ravel' of 'numpy.ndarray' objects}
        1    0.063    0.063    0.065    0.065 E:\Bao\Conda\envs\lettuce\lib\site-packages\matplotlib\backends\backend_qt.py:635(__init__)
   603204    0.057    0.000    0.057    0.000 E:\Bao\Conda\envs\lettuce\lib\site-packages\shapely\geometry\base.py:228(_geom)
     9650    0.055    0.000    0.055    0.000 {method 'write' of '_io.BufferedWriter' objects}
    11358    0.047    0.000    0.047    0.000 {built-in method numpy.array}
   110145    0.046    0.000    0.071    0.000 E:\Bao\Conda\envs\lettuce\lib\site-packages\torch\_VF.py:25(__getattr__)
    10000    0.044    0.000    0.358    0.000 E:\Bao\Conda\envs\lettuce\lib\site-packages\torch\functional.py:1315(norm)
