Performance in MLUPS: 38.56460200085427
         13472138 function calls (13394326 primitive calls) in 85.614 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    10000   55.345    0.006   57.553    0.006 E:\BaoFile\lettuce-master\lettuce\boundary.py:116(__call__)
      606    3.804    0.006    5.591    0.009 E:\Bao\Conda\envs\lettuce\lib\site-packages\pyevtk\evtk.py:74(writeArrayToFile)
    80143    2.933    0.000    2.933    0.000 {built-in method einsum}
    20002    2.053    0.000    5.716    0.000 E:\BaoFile\lettuce-master\lettuce\equilibrium.py:15(__call__)
    10000    1.637    0.000    4.518    0.000 E:\BaoFile\lettuce-master\lettuce\streaming.py:33(__call__)
     1225    1.396    0.001    1.396    0.001 {built-in method _struct.pack}
    80000    1.274    0.000    1.274    0.000 {built-in method roll}
   110000    1.274    0.000    1.274    0.000 {built-in method where}
       16    1.233    0.077    1.257    0.079 {built-in method tensor}
   301101    1.152    0.000    1.264    0.000 E:\Bao\Conda\envs\lettuce\lib\site-packages\shapely\geometry\point.py:244(geos_point_from_py)
  2408816    1.143    0.000    1.143    0.000 E:\Bao\Conda\envs\lettuce\lib\site-packages\shapely\geometry\base.py:245(__setattr__)
   100109    0.899    0.000    0.899    0.000 {method 'pow' of 'torch._C._TensorBase' objects}
    20002    0.819    0.000    0.819    0.000 {built-in method tensordot}
    80000    0.655    0.000    2.081    0.000 E:\BaoFile\lettuce-master\lettuce\streaming.py:42(_stream)
    10000    0.630    0.000    0.800    0.000 E:\BaoFile\lettuce-master\lettuce\boundary.py:32(__call__)
    10000    0.622    0.000    4.762    0.000 E:\BaoFile\lettuce-master\lettuce\collision.py:22(__call__)
   301101    0.562    0.000    0.974    0.000 E:\Bao\Conda\envs\lettuce\lib\site-packages\shapely\predicates.py:11(__call__)
    40239    0.553    0.000    0.553    0.000 {built-in method sum}
   602204    0.516    0.000    1.116    0.000 E:\Bao\Conda\envs\lettuce\lib\site-packages\shapely\geometry\base.py:191(_empty)
   301101    0.438    0.000    2.853    0.000 E:\Bao\Conda\envs\lettuce\lib\site-packages\shapely\geometry\point.py:38(__init__)
150286/80143    0.422    0.000    3.494    0.000 E:\Bao\Conda\envs\lettuce\lib\site-packages\torch\functional.py:159(einsum)
    70142    0.407    0.000    3.623    0.000 E:\BaoFile\lettuce-master\lettuce\lattices.py:102(einsum)
        1    0.326    0.326    5.347    5.347 E:\BaoFile\lettuce-master\flow2D.py:65(setPolygonObstacle)
    20125    0.297    0.000    1.809    0.000 E:\BaoFile\lettuce-master\lettuce\lattices.py:69(u)
    10000    0.294    0.000    0.294    0.000 {built-in method frobenius_norm}
      806    0.239    0.000    0.239    0.000 {method 'ravel' of 'numpy.ndarray' objects}
    10001    0.235    0.000    0.271    0.000 E:\BaoFile\lettuce-master\lettuce\unit.py:96(convert_pressure_to_lu)
      315    0.226    0.001    0.226    0.001 {method 'cpu' of 'torch._C._TensorBase' objects}
   602202    0.224    0.000    0.322    0.000 E:\Bao\Conda\envs\lettuce\lib\site-packages\shapely\topology.py:17(_validate)
   301101    0.216    0.000    1.241    0.000 E:\Bao\Conda\envs\lettuce\lib\site-packages\shapely\geometry\base.py:809(within)
    40228    0.211    0.000    0.764    0.000 E:\BaoFile\lettuce-master\lettuce\lattices.py:61(rho)
    10001    0.206    0.000    0.582    0.000 E:\BaoFile\lettuce-master\lettuce\unit.py:83(convert_pressure_pu_to_density_lu)
        1    0.206    0.206   78.077   78.077 E:\BaoFile\lettuce-master\lettuce\simulation.py:65(step)
   301102    0.205    0.000    0.947    0.000 E:\Bao\Conda\envs\lettuce\lib\site-packages\shapely\geometry\base.py:240(_set_geom)
    10001    0.200    0.000    0.208    0.000 E:\BaoFile\lettuce-master\lettuce\unit.py:60(convert_velocity_to_lu)
    10000    0.199    0.000    0.199    0.000 {built-in method ones_like}
   301102    0.153    0.000    0.927    0.000 E:\Bao\Conda\envs\lettuce\lib\site-packages\shapely\geometry\base.py:208(__del__)
     9756    0.144    0.000    0.144    0.000 {method 'write' of '_io.BufferedWriter' objects}
1922366/1922111    0.140    0.000    0.140    0.000 {built-in method builtins.len}
   966342    0.126    0.000    0.129    0.000 {built-in method builtins.isinstance}
    80343    0.121    0.000    0.121    0.000 {built-in method numpy.arange}
    20002    0.111    0.000    0.964    0.000 E:\Bao\Conda\envs\lettuce\lib\site-packages\torch\functional.py:949(tensordot)
  1204404    0.109    0.000    0.109    0.000 E:\Bao\Conda\envs\lettuce\lib\site-packages\shapely\geometry\base.py:228(_geom)
    10000    0.092    0.000    3.994    0.000 E:\BaoFile\lettuce-master\lettuce\boundary.py:54(__call__)
   100109    0.086    0.000    1.006    0.000 E:\Bao\Conda\envs\lettuce\lib\site-packages\torch\_tensor.py:25(wrapped)
   607830    0.074    0.000    0.074    0.000 {built-in method builtins.hasattr}
        1    0.066    0.066    0.068    0.068 E:\Bao\Conda\envs\lettuce\lib\site-packages\matplotlib\backends\backend_qt.py:635(__init__)
   140372    0.061    0.000    0.061    0.000 E:\BaoFile\lettuce-master\lettuce\lattices.py:35(D)
   301101    0.051    0.000    0.051    0.000 E:\Bao\Conda\envs\lettuce\lib\site-packages\shapely\impl.py:56(__getitem__)
    11480    0.046    0.000    0.046    0.000 {built-in method numpy.array}
      103    0.046    0.000    0.046    0.000 {built-in method io.open}
   110145    0.046    0.000    0.071    0.000 E:\Bao\Conda\envs\lettuce\lib\site-packages\torch\_VF.py:25(__getattr__)
   250395    0.042    0.000    0.042    0.000 {built-in method torch._C._has_torch_function}
   301101    0.042    0.000    0.042    0.000 E:\Bao\Conda\envs\lettuce\lib\site-packages\shapely\geos.py:573(errcheck_predicate)
    10000    0.042    0.000    0.349    0.000 E:\Bao\Conda\envs\lettuce\lib\site-packages\torch\functional.py:1315(norm)
        4    0.041    0.010    0.041    0.010 {built-in method matplotlib._image.resample}
   140533    0.040    0.000    0.040    0.000 {method 'split' of 'str' objects}
      606    0.036    0.000    5.630    0.009 E:\Bao\Conda\envs\lettuce\lib\site-packages\pyevtk\vtk.py:572(appendData)
    40220    0.036    0.000    0.036    0.000 E:\BaoFile\lettuce-master\lettuce\unit.py:33(characteristic_velocity_lu)
