Performance in MLUPS: 3.7771091059927717
         8644369 function calls (8566963 primitive calls) in 403.077 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    20002  123.148    0.006  158.107    0.008 E:\BaoFile\lettuce-master\lettuce\equilibrium.py:15(__call__)
    10000   66.182    0.007  241.202    0.024 E:\BaoFile\lettuce-master\lettuce\collision.py:22(__call__)
   110000   42.974    0.000   42.974    0.000 {built-in method where}
    80143   34.799    0.000   34.799    0.000 {built-in method einsum}
        1   32.810   32.810  399.250  399.250 E:\BaoFile\lettuce-master\lettuce\simulation.py:65(step)
    40239   17.965    0.000   17.965    0.000 {built-in method sum}
    10000   14.540    0.001   26.533    0.003 E:\BaoFile\lettuce-master\lettuce\boundary.py:32(__call__)
    20002    9.837    0.000    9.837    0.000 {built-in method tensordot}
   100109    9.613    0.000    9.613    0.000 {method 'pow' of 'torch._C._TensorBase' objects}
    20125    8.875    0.000   30.708    0.002 E:\BaoFile\lettuce-master\lettuce\lattices.py:69(u)
    80000    7.802    0.000    7.802    0.000 {built-in method roll}
    10000    6.751    0.001    6.751    0.001 {built-in method ones_like}
    10000    5.138    0.001   37.330    0.004 E:\BaoFile\lettuce-master\lettuce\boundary.py:54(__call__)
    10000    3.182    0.000   25.493    0.003 E:\BaoFile\lettuce-master\lettuce\boundary.py:116(__call__)
      606    3.117    0.005    4.430    0.007 E:\Bao\Conda\envs\lettuce\lib\site-packages\pyevtk\evtk.py:74(writeArrayToFile)
    10000    2.642    0.000   18.216    0.002 E:\BaoFile\lettuce-master\lettuce\streaming.py:33(__call__)
    80000    1.188    0.000    9.271    0.000 E:\BaoFile\lettuce-master\lettuce\streaming.py:42(_stream)
     1225    1.147    0.001    1.147    0.001 {built-in method _struct.pack}
    70142    1.082    0.000   36.841    0.001 E:\BaoFile\lettuce-master\lettuce\lattices.py:102(einsum)
    10000    1.044    0.000    1.044    0.000 {built-in method frobenius_norm}
150286/80143    0.975    0.000   36.090    0.000 E:\Bao\Conda\envs\lettuce\lib\site-packages\torch\functional.py:159(einsum)
   150801    0.687    0.000    0.751    0.000 E:\Bao\Conda\envs\lettuce\lib\site-packages\shapely\geometry\point.py:244(geos_point_from_py)
    10001    0.642    0.000    0.766    0.000 E:\BaoFile\lettuce-master\lettuce\unit.py:96(convert_pressure_to_lu)
  1206416    0.637    0.000    0.637    0.000 E:\Bao\Conda\envs\lettuce\lib\site-packages\shapely\geometry\base.py:245(__setattr__)
    40228    0.544    0.000   18.508    0.000 E:\BaoFile\lettuce-master\lettuce\lattices.py:61(rho)
    20002    0.335    0.000   10.257    0.001 E:\Bao\Conda\envs\lettuce\lib\site-packages\torch\functional.py:949(tensordot)
   150801    0.330    0.000    0.553    0.000 E:\Bao\Conda\envs\lettuce\lib\site-packages\shapely\predicates.py:11(__call__)
   301604    0.301    0.000    0.640    0.000 E:\Bao\Conda\envs\lettuce\lib\site-packages\shapely\geometry\base.py:191(_empty)
    10001    0.268    0.000    1.187    0.000 E:\BaoFile\lettuce-master\lettuce\unit.py:83(convert_pressure_pu_to_density_lu)
   150801    0.242    0.000    1.641    0.000 E:\Bao\Conda\envs\lettuce\lib\site-packages\shapely\geometry\point.py:38(__init__)
    10001    0.236    0.000    0.246    0.000 E:\BaoFile\lettuce-master\lettuce\unit.py:60(convert_velocity_to_lu)
    80343    0.225    0.000    0.225    0.000 {built-in method numpy.arange}
   140372    0.189    0.000    0.189    0.000 E:\BaoFile\lettuce-master\lettuce\lattices.py:35(D)
   100109    0.184    0.000    9.838    0.000 E:\Bao\Conda\envs\lettuce\lib\site-packages\torch\_tensor.py:25(wrapped)
        1    0.183    0.183    3.053    3.053 E:\BaoFile\lettuce-master\flow2D.py:65(setPolygonObstacle)
   664914    0.175    0.000    0.178    0.000 {built-in method builtins.isinstance}
1320692/1320449    0.153    0.000    0.153    0.000 {built-in method builtins.len}
   150801    0.123    0.000    0.704    0.000 E:\Bao\Conda\envs\lettuce\lib\site-packages\shapely\geometry\base.py:809(within)
   301602    0.121    0.000    0.175    0.000 E:\Bao\Conda\envs\lettuce\lib\site-packages\shapely\topology.py:17(_validate)
    40220    0.119    0.000    0.119    0.000 E:\BaoFile\lettuce-master\lettuce\unit.py:33(characteristic_velocity_lu)
   150802    0.116    0.000    0.534    0.000 E:\Bao\Conda\envs\lettuce\lib\site-packages\shapely\geometry\base.py:240(_set_geom)
   140506    0.114    0.000    0.114    0.000 {method 'split' of 'str' objects}
    11358    0.111    0.000    0.111    0.000 {built-in method numpy.array}
   110145    0.110    0.000    0.192    0.000 E:\Bao\Conda\envs\lettuce\lib\site-packages\torch\_VF.py:25(__getattr__)
        1    0.089    0.089    0.093    0.093 E:\Bao\Conda\envs\lettuce\lib\site-packages\matplotlib\backends\backend_qt.py:635(__init__)
    10001    0.086    0.000    5.165    0.001 E:\BaoFile\lettuce-master\lettuce\simulation.py:84(_report)
   250395    0.086    0.000    0.086    0.000 {built-in method torch._C._has_torch_function}
   121964    0.085    0.000    0.088    0.000 {built-in method builtins.getattr}
   150802    0.084    0.000    0.525    0.000 E:\Bao\Conda\envs\lettuce\lib\site-packages\shapely\geometry\base.py:208(__del__)
      786    0.079    0.000    0.079    0.000 {method 'ravel' of 'numpy.ndarray' objects}
     9650    0.078    0.000    0.078    0.000 {method 'write' of '_io.BufferedWriter' objects}
    20002    0.078    0.000    0.138    0.000 E:\BaoFile\lettuce-master\lettuce\unit.py:71(convert_time_to_pu)
    66441    0.072    0.000    0.072    0.000 {method 'endswith' of 'str' objects}
    10000    0.070    0.000    1.138    0.000 E:\Bao\Conda\envs\lettuce\lib\site-packages\torch\functional.py:1315(norm)
    20125    0.068    0.000   12.307    0.001 E:\BaoFile\lettuce-master\lettuce\lattices.py:65(j)
   603204    0.061    0.000    0.061    0.000 E:\Bao\Conda\envs\lettuce\lib\site-packages\shapely\geometry\base.py:228(_geom)
      102    0.058    0.001    0.058    0.001 E:\BaoFile\lettuce-master\lettuce\unit.py:57(convert_velocity_to_pu)
    10102    0.054    0.000    0.103    0.000 E:\BaoFile\lettuce-master\lettuce\unit.py:41(characteristic_pressure_lu)
      103    0.051    0.000    0.051    0.000 {built-in method io.open}
   306873    0.042    0.000    0.042    0.000 {built-in method builtins.hasattr}
   160000    0.041    0.000    0.041    0.000 E:\BaoFile\lettuce-master\lettuce\streaming.py:25(no_stream_mask)
    10001    0.041    0.000    4.875    0.000 E:\BaoFile\lettuce-master\lettuce\reporters.py:52(__call__)
     6466    0.035    0.000    0.035    0.000 {method 'items' of 'dict' objects}
    71348    0.035    0.000    0.035    0.000 {method 'join' of 'str' objects}
        1    0.033    0.033    0.033    0.033 E:\BaoFile\lettuce-master\flow2D.py:32(setSquareObstacle)
        4    0.031    0.008    0.031    0.008 {built-in method matplotlib._image.resample}
      428    0.031    0.000    0.031    0.000 {built-in method nt.stat}
   150801    0.027    0.000    0.027    0.000 E:\Bao\Conda\envs\lettuce\lib\site-packages\shapely\impl.py:56(__getitem__)
      115    0.026    0.000    0.026    0.000 {built-in method io.open_code}
    10000    0.025    0.000    0.025    0.000 E:\BaoFile\lettuce-master\lettuce\lattices.py:39(Q)
    10102    0.023    0.000    0.023    0.000 E:\BaoFile\lettuce-master\lettuce\unit.py:37(characteristic_pressure_pu)
   150801    0.022    0.000    0.022    0.000 E:\Bao\Conda\envs\lettuce\lib\site-packages\shapely\geos.py:573(errcheck_predicate)
        1    0.021    0.021    0.021    0.021 {method 'quantize' of 'ImagingCore' objects}
    10001    0.017    0.000    0.067    0.000 E:\BaoFile\lettuce-master\lettuce\reporters.py:135(__call__)
      149    0.017    0.000    0.017    0.000 {method 'set_text' of 'matplotlib.ft2font.FT2Font' objects}
        1    0.017    0.017    0.017    0.017 {built-in method sizeHint}
      512    0.015    0.000    0.018    0.000 {method 'load_char' of 'matplotlib.ft2font.FT2Font' objects}
      101    0.013    0.000    0.025    0.000 E:\BaoFile\lettuce-master\lettuce\unit.py:79(convert_density_lu_to_pressure_pu)
      115    0.012    0.000    0.012    0.000 {built-in method marshal.loads}
      103    0.012    0.000    0.012    0.000 {method 'close' of '_io.BufferedWriter' objects}
    20002    0.011    0.000    0.011    0.000 {built-in method torch._C._has_torch_function_variadic}
        1    0.010    0.010    0.010    0.010 E:\Bao\Conda\envs\lettuce\lib\site-packages\matplotlib\backends\backend_qt.py:100(_create_qApp)
        3    0.009    0.003    0.037    0.012 E:\Bao\Conda\envs\lettuce\lib\site-packages\matplotlib\font_manager.py:1311(_findfont_cached)
      101    0.009    0.000    0.010    0.000 E:\BaoFile\lettuce-master\lettuce\unit.py:93(convert_pressure_to_pu)
        2    0.009    0.004    0.009    0.004 {method 'encode' of 'ImagingEncoder' objects}
2625/2313    0.008    0.000    0.109    0.000 {built-in method numpy.core._multiarray_umath.implement_array_function}
     2283    0.006    0.000    0.007    0.000 E:\Bao\Conda\envs\lettuce\lib\site-packages\matplotlib\font_manager.py:1188(score_stretch)
    10000    0.006    0.000    0.006    0.000 {method 'dim' of 'torch._C._TensorBase' objects}
     2283    0.006    0.000    0.009    0.000 E:\Bao\Conda\envs\lettuce\lib\site-packages\matplotlib\font_manager.py:1130(score_family)
      606    0.006    0.000    4.440    0.007 E:\Bao\Conda\envs\lettuce\lib\site-packages\pyevtk\vtk.py:572(appendData)
