Performance in MLUPS: 34.10234099847112
         8644745 function calls (8567335 primitive calls) in 49.052 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    10000   24.998    0.002   27.157    0.003 E:\BaoFile\lettuce-master\lettuce\boundary.py:116(__call__)
    80143    2.661    0.000    2.661    0.000 {built-in method einsum}
    20002    2.050    0.000    5.448    0.000 E:\BaoFile\lettuce-master\lettuce\equilibrium.py:15(__call__)
      606    1.898    0.003    2.695    0.004 E:\Bao\Conda\envs\lettuce\lib\site-packages\pyevtk\evtk.py:74(writeArrayToFile)
    10000    1.455    0.000    4.454    0.000 E:\BaoFile\lettuce-master\lettuce\streaming.py:33(__call__)
   110000    1.429    0.000    1.429    0.000 {built-in method where}
    80000    1.300    0.000    1.300    0.000 {built-in method roll}
       16    1.193    0.075    1.222    0.076 {built-in method tensor}
   100109    0.894    0.000    0.894    0.000 {method 'pow' of 'torch._C._TensorBase' objects}
    20002    0.800    0.000    0.800    0.000 {built-in method tensordot}
     1223    0.674    0.001    0.674    0.001 {built-in method _struct.pack}
    80000    0.653    0.000    2.110    0.000 E:\BaoFile\lettuce-master\lettuce\streaming.py:42(_stream)
    40239    0.632    0.000    0.632    0.000 {built-in method sum}
    10000    0.612    0.000    0.776    0.000 E:\BaoFile\lettuce-master\lettuce\boundary.py:32(__call__)
   150801    0.603    0.000    0.660    0.000 E:\Bao\Conda\envs\lettuce\lib\site-packages\shapely\geometry\point.py:244(geos_point_from_py)
  1206416    0.581    0.000    0.581    0.000 E:\Bao\Conda\envs\lettuce\lib\site-packages\shapely\geometry\base.py:245(__setattr__)
    10000    0.569    0.000    4.565    0.000 E:\BaoFile\lettuce-master\lettuce\collision.py:22(__call__)
150286/80143    0.419    0.000    3.214    0.000 E:\Bao\Conda\envs\lettuce\lib\site-packages\torch\functional.py:159(einsum)
    70142    0.394    0.000    3.339    0.000 E:\BaoFile\lettuce-master\lettuce\lattices.py:102(einsum)
   150801    0.295    0.000    0.501    0.000 E:\Bao\Conda\envs\lettuce\lib\site-packages\shapely\predicates.py:11(__call__)
    20125    0.288    0.000    1.801    0.000 E:\BaoFile\lettuce-master\lettuce\lattices.py:69(u)
    10000    0.282    0.000    0.282    0.000 {built-in method frobenius_norm}
   301604    0.264    0.000    0.574    0.000 E:\Bao\Conda\envs\lettuce\lib\site-packages\shapely\geometry\base.py:191(_empty)
    10001    0.241    0.000    0.276    0.000 E:\BaoFile\lettuce-master\lettuce\unit.py:96(convert_pressure_to_lu)
   150801    0.231    0.000    1.471    0.000 E:\Bao\Conda\envs\lettuce\lib\site-packages\shapely\geometry\point.py:38(__init__)
    40228    0.211    0.000    0.843    0.000 E:\BaoFile\lettuce-master\lettuce\lattices.py:61(rho)
    10001    0.199    0.000    0.576    0.000 E:\BaoFile\lettuce-master\lettuce\unit.py:83(convert_pressure_pu_to_density_lu)
        1    0.197    0.197   44.220   44.220 E:\BaoFile\lettuce-master\lettuce\simulation.py:65(step)
    10001    0.192    0.000    0.200    0.000 E:\BaoFile\lettuce-master\lettuce\unit.py:60(convert_velocity_to_lu)
        1    0.168    0.168    2.751    2.751 E:\BaoFile\lettuce-master\flow2D.py:65(setPolygonObstacle)
    10000    0.128    0.000    0.128    0.000 {built-in method ones_like}
    80343    0.122    0.000    0.122    0.000 {built-in method numpy.arange}
    20002    0.112    0.000    0.946    0.000 E:\Bao\Conda\envs\lettuce\lib\site-packages\torch\functional.py:949(tensordot)
   301602    0.112    0.000    0.161    0.000 E:\Bao\Conda\envs\lettuce\lib\site-packages\shapely\topology.py:17(_validate)
   150801    0.110    0.000    0.636    0.000 E:\Bao\Conda\envs\lettuce\lib\site-packages\shapely\geometry\base.py:809(within)
   150802    0.104    0.000    0.482    0.000 E:\Bao\Conda\envs\lettuce\lib\site-packages\shapely\geometry\base.py:240(_set_geom)
1320691/1320448    0.100    0.000    0.100    0.000 {built-in method builtins.len}
   664932    0.095    0.000    0.098    0.000 {built-in method builtins.isinstance}
      315    0.093    0.000    0.093    0.000 {method 'cpu' of 'torch._C._TensorBase' objects}
    10000    0.087    0.000    3.847    0.000 E:\BaoFile\lettuce-master\lettuce\boundary.py:54(__call__)
   100109    0.086    0.000    1.001    0.000 E:\Bao\Conda\envs\lettuce\lib\site-packages\torch\_tensor.py:25(wrapped)
   150802    0.076    0.000    0.476    0.000 E:\Bao\Conda\envs\lettuce\lib\site-packages\shapely\geometry\base.py:208(__del__)
   140372    0.068    0.000    0.068    0.000 E:\BaoFile\lettuce-master\lettuce\lattices.py:35(D)
      786    0.065    0.000    0.065    0.000 {method 'ravel' of 'numpy.ndarray' objects}
        1    0.064    0.064    0.067    0.067 E:\Bao\Conda\envs\lettuce\lib\site-packages\matplotlib\backends\backend_qt.py:635(__init__)
   603204    0.055    0.000    0.055    0.000 E:\Bao\Conda\envs\lettuce\lib\site-packages\shapely\geometry\base.py:228(_geom)
     9650    0.052    0.000    0.052    0.000 {method 'write' of '_io.BufferedWriter' objects}
   110145    0.045    0.000    0.070    0.000 E:\Bao\Conda\envs\lettuce\lib\site-packages\torch\_VF.py:25(__getattr__)
    10000    0.042    0.000    0.338    0.000 E:\Bao\Conda\envs\lettuce\lib\site-packages\torch\functional.py:1315(norm)
   250395    0.042    0.000    0.042    0.000 {built-in method torch._C._has_torch_function}
    11358    0.041    0.000    0.041    0.000 {built-in method numpy.array}
   140525    0.041    0.000    0.041    0.000 {method 'split' of 'str' objects}
   306885    0.039    0.000    0.039    0.000 {built-in method builtins.hasattr}
      103    0.033    0.000    0.033    0.000 {built-in method io.open}
    40220    0.033    0.000    0.033    0.000 E:\BaoFile\lettuce-master\lettuce\unit.py:33(characteristic_velocity_lu)
    10001    0.031    0.000    2.977    0.000 E:\BaoFile\lettuce-master\lettuce\simulation.py:84(_report)
        1    0.031    0.031    0.034    0.034 E:\Bao\Conda\envs\lettuce\lib\site-packages\PIL\TiffImagePlugin.py:41(<module>)
    20002    0.029    0.000    0.045    0.000 E:\BaoFile\lettuce-master\lettuce\unit.py:71(convert_time_to_pu)
        1    0.029    0.029    0.029    0.029 {built-in method torch._C._cuda_init}
      428    0.028    0.000    0.028    0.000 {built-in method nt.stat}
   121964    0.028    0.000    0.030    0.000 {built-in method builtins.getattr}
   150801    0.025    0.000    0.025    0.000 E:\Bao\Conda\envs\lettuce\lib\site-packages\shapely\impl.py:56(__getitem__)
   160000    0.024    0.000    0.024    0.000 E:\BaoFile\lettuce-master\lettuce\streaming.py:25(no_stream_mask)
    66441    0.024    0.000    0.024    0.000 {method 'endswith' of 'str' objects}
    20125    0.021    0.000    1.132    0.000 E:\BaoFile\lettuce-master\lettuce\lattices.py:65(j)
   150801    0.020    0.000    0.020    0.000 E:\Bao\Conda\envs\lettuce\lib\site-packages\shapely\geos.py:573(errcheck_predicate)
        4    0.020    0.005    0.020    0.005 {built-in method matplotlib._image.resample}
      115    0.020    0.000    0.020    0.000 {built-in method io.open_code}
    10102    0.019    0.000    0.028    0.000 E:\BaoFile\lettuce-master\lettuce\unit.py:41(characteristic_pressure_lu)
      512    0.017    0.000    0.020    0.000 {method 'load_char' of 'matplotlib.ft2font.FT2Font' objects}
    71348    0.016    0.000    0.016    0.000 {method 'join' of 'str' objects}
        1    0.014    0.014    0.014    0.014 {method 'quantize' of 'ImagingCore' objects}
      149    0.014    0.000    0.014    0.000 {method 'set_text' of 'matplotlib.ft2font.FT2Font' objects}
      115    0.010    0.000    0.010    0.000 {built-in method marshal.loads}
        3    0.009    0.003    0.035    0.012 E:\Bao\Conda\envs\lettuce\lib\site-packages\matplotlib\font_manager.py:1311(_findfont_cached)
      103    0.008    0.000    0.008    0.000 {method 'close' of '_io.BufferedWriter' objects}
    10001    0.007    0.000    2.870    0.000 E:\BaoFile\lettuce-master\lettuce\reporters.py:52(__call__)
    10102    0.007    0.000    0.007    0.000 E:\BaoFile\lettuce-master\lettuce\unit.py:37(characteristic_pressure_pu)
        1    0.007    0.007    0.007    0.007 E:\Bao\Conda\envs\lettuce\lib\site-packages\matplotlib\backends\backend_qt.py:100(_create_qApp)
    10000    0.006    0.000    0.006    0.000 E:\BaoFile\lettuce-master\lettuce\lattices.py:39(Q)
        1    0.006    0.006    0.006    0.006 {method 'encode' of 'ImagingEncoder' objects}
     2283    0.006    0.000    0.006    0.000 E:\Bao\Conda\envs\lettuce\lib\site-packages\matplotlib\font_manager.py:1188(score_stretch)
    10001    0.005    0.000    0.030    0.000 E:\BaoFile\lettuce-master\lettuce\reporters.py:135(__call__)
2624/2312    0.005    0.000    0.089    0.000 {built-in method numpy.core._multiarray_umath.implement_array_function}
     2283    0.005    0.000    0.009    0.000 E:\Bao\Conda\envs\lettuce\lib\site-packages\matplotlib\font_manager.py:1130(score_family)
  499/490    0.005    0.000    0.009    0.000 {built-in method builtins.__build_class__}
