Performance in MLUPS: 34.090769059297486
         8644773 function calls (8567363 primitive calls) in 49.019 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    10000   24.868    0.002   27.038    0.003 E:\BaoFile\lettuce-master\lettuce\boundary.py:116(__call__)
    80143    2.657    0.000    2.657    0.000 {built-in method einsum}
    20002    2.105    0.000    5.518    0.000 E:\BaoFile\lettuce-master\lettuce\equilibrium.py:15(__call__)
      606    1.914    0.003    2.716    0.004 E:\Bao\Conda\envs\lettuce\lib\site-packages\pyevtk\evtk.py:74(writeArrayToFile)
    10000    1.437    0.000    4.431    0.000 E:\BaoFile\lettuce-master\lettuce\streaming.py:33(__call__)
   110000    1.432    0.000    1.432    0.000 {built-in method where}
    80000    1.309    0.000    1.309    0.000 {built-in method roll}
       16    1.206    0.075    1.228    0.077 {built-in method tensor}
   100109    0.917    0.000    0.917    0.000 {method 'pow' of 'torch._C._TensorBase' objects}
    20002    0.797    0.000    0.797    0.000 {built-in method tensordot}
     1225    0.676    0.001    0.676    0.001 {built-in method _struct.pack}
    80000    0.638    0.000    2.103    0.000 E:\BaoFile\lettuce-master\lettuce\streaming.py:42(_stream)
    40239    0.636    0.000    0.636    0.000 {built-in method sum}
    10000    0.618    0.000    0.784    0.000 E:\BaoFile\lettuce-master\lettuce\boundary.py:32(__call__)
   150801    0.585    0.000    0.640    0.000 E:\Bao\Conda\envs\lettuce\lib\site-packages\shapely\geometry\point.py:244(geos_point_from_py)
    10000    0.580    0.000    4.625    0.000 E:\BaoFile\lettuce-master\lettuce\collision.py:22(__call__)
  1206416    0.564    0.000    0.564    0.000 E:\Bao\Conda\envs\lettuce\lib\site-packages\shapely\geometry\base.py:245(__setattr__)
150286/80143    0.420    0.000    3.213    0.000 E:\Bao\Conda\envs\lettuce\lib\site-packages\torch\functional.py:159(einsum)
    70142    0.394    0.000    3.342    0.000 E:\BaoFile\lettuce-master\lettuce\lattices.py:102(einsum)
    20125    0.296    0.000    1.810    0.000 E:\BaoFile\lettuce-master\lettuce\lattices.py:69(u)
    10000    0.285    0.000    0.285    0.000 {built-in method frobenius_norm}
   150801    0.283    0.000    0.490    0.000 E:\Bao\Conda\envs\lettuce\lib\site-packages\shapely\predicates.py:11(__call__)
   301604    0.261    0.000    0.560    0.000 E:\Bao\Conda\envs\lettuce\lib\site-packages\shapely\geometry\base.py:191(_empty)
    10001    0.247    0.000    0.281    0.000 E:\BaoFile\lettuce-master\lettuce\unit.py:96(convert_pressure_to_lu)
   150801    0.223    0.000    1.437    0.000 E:\Bao\Conda\envs\lettuce\lib\site-packages\shapely\geometry\point.py:38(__init__)
    40228    0.213    0.000    0.848    0.000 E:\BaoFile\lettuce-master\lettuce\lattices.py:61(rho)
    10001    0.203    0.000    0.588    0.000 E:\BaoFile\lettuce-master\lettuce\unit.py:83(convert_pressure_pu_to_density_lu)
        1    0.203    0.203   44.235   44.235 E:\BaoFile\lettuce-master\lettuce\simulation.py:65(step)
    10001    0.196    0.000    0.204    0.000 E:\BaoFile\lettuce-master\lettuce\unit.py:60(convert_velocity_to_lu)
        1    0.171    0.171    2.699    2.699 E:\BaoFile\lettuce-master\flow2D.py:65(setPolygonObstacle)
    10000    0.127    0.000    0.127    0.000 {built-in method ones_like}
    80343    0.122    0.000    0.122    0.000 {built-in method numpy.arange}
    20002    0.113    0.000    0.945    0.000 E:\Bao\Conda\envs\lettuce\lib\site-packages\torch\functional.py:949(tensordot)
   301602    0.112    0.000    0.163    0.000 E:\Bao\Conda\envs\lettuce\lib\site-packages\shapely\topology.py:17(_validate)
   150801    0.109    0.000    0.627    0.000 E:\Bao\Conda\envs\lettuce\lib\site-packages\shapely\geometry\base.py:809(within)
   150802    0.103    0.000    0.475    0.000 E:\Bao\Conda\envs\lettuce\lib\site-packages\shapely\geometry\base.py:240(_set_geom)
1320693/1320450    0.100    0.000    0.100    0.000 {built-in method builtins.len}
   664932    0.094    0.000    0.097    0.000 {built-in method builtins.isinstance}
      315    0.093    0.000    0.093    0.000 {method 'cpu' of 'torch._C._TensorBase' objects}
   100109    0.088    0.000    1.028    0.000 E:\Bao\Conda\envs\lettuce\lib\site-packages\torch\_tensor.py:25(wrapped)
    10000    0.086    0.000    3.906    0.000 E:\BaoFile\lettuce-master\lettuce\boundary.py:54(__call__)
   150802    0.078    0.000    0.464    0.000 E:\Bao\Conda\envs\lettuce\lib\site-packages\shapely\geometry\base.py:208(__del__)
   140372    0.068    0.000    0.068    0.000 E:\BaoFile\lettuce-master\lettuce\lattices.py:35(D)
      786    0.065    0.000    0.065    0.000 {method 'ravel' of 'numpy.ndarray' objects}
        1    0.062    0.062    0.065    0.065 E:\Bao\Conda\envs\lettuce\lib\site-packages\matplotlib\backends\backend_qt.py:635(__init__)
   603204    0.056    0.000    0.056    0.000 E:\Bao\Conda\envs\lettuce\lib\site-packages\shapely\geometry\base.py:228(_geom)
     9650    0.055    0.000    0.055    0.000 {method 'write' of '_io.BufferedWriter' objects}
   110145    0.046    0.000    0.070    0.000 E:\Bao\Conda\envs\lettuce\lib\site-packages\torch\_VF.py:25(__getattr__)
   250395    0.043    0.000    0.043    0.000 {built-in method torch._C._has_torch_function}
    11358    0.042    0.000    0.042    0.000 {built-in method numpy.array}
    10000    0.042    0.000    0.340    0.000 E:\Bao\Conda\envs\lettuce\lib\site-packages\torch\functional.py:1315(norm)
   140525    0.041    0.000    0.041    0.000 {method 'split' of 'str' objects}
   306885    0.039    0.000    0.039    0.000 {built-in method builtins.hasattr}
    10001    0.035    0.000    3.001    0.000 E:\BaoFile\lettuce-master\lettuce\simulation.py:84(_report)
    40220    0.033    0.000    0.033    0.000 E:\BaoFile\lettuce-master\lettuce\unit.py:33(characteristic_velocity_lu)
      103    0.033    0.000    0.033    0.000 {built-in method io.open}
       26    0.030    0.001    0.030    0.001 E:\Bao\Conda\envs\lettuce\lib\site-packages\PIL\TiffImagePlugin.py:376(_delegate)
    20002    0.029    0.000    0.045    0.000 E:\BaoFile\lettuce-master\lettuce\unit.py:71(convert_time_to_pu)
      428    0.027    0.000    0.027    0.000 {built-in method nt.stat}
   150801    0.027    0.000    0.027    0.000 E:\Bao\Conda\envs\lettuce\lib\site-packages\shapely\impl.py:56(__getitem__)
   121964    0.026    0.000    0.028    0.000 {built-in method builtins.getattr}
   160000    0.025    0.000    0.025    0.000 E:\BaoFile\lettuce-master\lettuce\streaming.py:25(no_stream_mask)
        1    0.024    0.024    0.024    0.024 E:\BaoFile\lettuce-master\flow2D.py:32(setSquareObstacle)
    66441    0.024    0.000    0.024    0.000 {method 'endswith' of 'str' objects}
        1    0.021    0.021    0.021    0.021 {built-in method torch._C._cuda_init}
        4    0.020    0.005    0.021    0.005 {built-in method matplotlib._image.resample}
    20125    0.020    0.000    1.130    0.000 E:\BaoFile\lettuce-master\lettuce\lattices.py:65(j)
   150801    0.020    0.000    0.020    0.000 E:\Bao\Conda\envs\lettuce\lib\site-packages\shapely\geos.py:573(errcheck_predicate)
